algorithm,similes,property,value
constant-0,COc1ccc(CN2CCC(N3CC(c4ccccc4)(c4ccccc4)OCC3=O)C2)c(O)c1,diff_routes,0.0
constant-0,O=C(NCC1CCOCC1)C1Cc2c(-c3ccccc3Oc3ccccc3)ccnc2O1,diff_routes,0.0
constant-0,Cn1nnnc1Sc1ncnc2scc(-c3ccccc3C#N)c12,diff_routes,0.0
constant-0,Cn1ncc2c(N3CCCN4CCCC4C3)nc(C(C)(C)C)nc21,diff_routes,0.0
constant-0,N#CC1=C(N)OC2=C(C(=O)c3ccccc3C2=O)C1c1ccc(C(=O)O)cc1,diff_routes,0.0
constant-0,CC(=O)N1CC(Oc2cccc(F)c2)CC1C(=O)N1CCCNCC1,diff_routes,0.0
constant-0,COc1cc(C)c(CCC(C)=CC=CC(C)=O)c(C)c1C,diff_routes,0.0
Tanimoto-distance,COCC(=O)NCc1cc(=O)n2c(n1)CN(Cc1cccs1)CCC2,sol_time,370.0
Tanimoto-distance,CCCCC1(O)CCCn2nc(COc3ccccc3)cc21,sol_time,155.0
Tanimoto-distance,CCN1c2ncccc2-c2nccn2-c2c(C)ccnc21,sol_time,inf
Tanimoto-distance,COc1ccc(C(=O)NC2CCN3CCc4c([nH]c5ccccc45)C3C2)cc1,sol_time,inf
Tanimoto-distance,CCOC(=O)C1(C(NC(=O)OC)c2ccco2)CCCC1=O,sol_time,inf
Tanimoto-distance,CN1CC2CN(Cc3ccccc3)CCN2c2cccnc21,sol_time,319.0
Tanimoto-distance,Cc1c(NC(=O)Cc2cccs2)ccc2[nH]nc(C=Cc3cccc(CN4CCN(C)CC4)c3)c12,sol_time,inf
Tanimoto-distance,COCCOCC(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1,sol_time,291.0
Tanimoto-distance,COc1cc(-c2c3c(nc4cc(OC)c(OC)c(OC)c24)COC3=O)cc(OC)c1OC,sol_time,inf
Tanimoto-distance,Cc1ccc(N2CCN(Cc3ccccc3)C2)cc1,sol_time,inf
Tanimoto-distance,NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)N1,sol_time,inf
Tanimoto-distance,CCC(C)C(=O)c1c(O)c(CC=C(C)C)c(O)c2c(-c3ccccc3)cc(=O)oc12,sol_time,inf
Tanimoto-distance,Cc1c2c(c(C)c3c1[nH]c1ccccc13)CN(C)CC2,sol_time,278.0
Tanimoto-distance,COCCCCCCCCCCCCCCCC=C1CC(CO)(COC(=O)C(C)(C)C)OC1=O,sol_time,inf
Tanimoto-distance,Nc1nc(=O)c(CCCCC(=O)O)c(O)[nH]1,sol_time,219.0
Tanimoto-distance,CCCCc1nc2ccccc2c2nc(-c3ccc(Cl)cc3)nn12,sol_time,inf
Tanimoto-distance,C=CCNC(=O)N1c2ccccc2Sc2ccccc21,sol_time,inf
Tanimoto-distance,CC(N1CCn2nc(-c3ccc(Cl)cc3)nc2C1)C(O)(Cn1cncn1)c1ccc(F)cc1F,sol_time,58.0
Tanimoto-distance,CN(c1ccc([N+](=O)[O-])cc1)c1cc2c(c3c1ccn3C)C1CCC2C1,sol_time,inf
Tanimoto-distance,CS(=O)(=O)NCC1Cn2c(-c3ccccc3)cnc2CO1,sol_time,136.0
Tanimoto-distance,NCCC(CN)NCc1ccc(CNC(CN)CCN)cc1,sol_time,inf
Tanimoto-distance,c1ccc(-c2cc(CNc3nncc(-c4cccc5ccccc45)n3)n[nH]2)cc1,sol_time,99.0
Tanimoto-distance,CN1CC=C(c2c[nH]c3ccc(C4COCCO4)cc23)CC1,sol_time,inf
Tanimoto-distance,NC(=O)C12CCC(=O)N1CC(=O)N2,sol_time,119.0
