smiles,n_iter,first_soln_time,lowest_cost_route_found,lowest_cost_route_(binned),best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree,is_purchasable,constant-0,Tanimoto-distance,Tanimoto-distance-TIMES10,Tanimoto-distance-EXP,Tanimoto-distance-SQRT,Tanimoto-distance-NUM_NEIGHBORS_TO_1,Tanimoto-distance-NUM_NEIGHBORS_TO_1_TIMES1000
N#CCC(NC(=O)CNC(=O)CCCCNc1ccccn1)c1ccc(-c2ccccc2)cc1,101,11.0,5.901352611202658,004-006,4.620635400171723,4.0,1.0,22,2007,0.0,0.0,0.5961538461538461,5.961538461538462,0.8151241111064265,0.7721099961494128,0.000150093808630394,0.150093808630394
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(C(=O)O)c1-c1ccccc1,41,16.0,4.422081839838079,004-006,4.422081839838079,5.0,1.0,16,919,0.0,0.0,0.5546875,5.546875,0.7413967132631862,0.7447734554883115,0.000150093808630394,0.150093808630394
Cn1cc(-c2ccnc(N3CCn4c(cc5c4CCCC5)C3=O)c2CO)cc(Nc2cc3n(n2)CCOC3)c1=O,9,5.0,1.5980758777999755,001-003,0.8947688339587508,4.0,1.0,5,191,0.0,0.0,0.6275510204081632,6.275510204081632,0.8730179751665079,0.7921811790292441,0.000300187617260788,0.300187617260788
CCCCCC(=Cc1ccc(Cl)cc1Cl)CN1CCCC1,387,91.0,8.987013756017896,008-009,8.548823519179779,4.0,2.0,91,8220,0.0,0.0,0.691358024691358,6.91358024691358,0.996424887433325,0.8314794192830981,0.000225140712945591,0.225140712945591
O=C1OCc2cc(CCN3CCN(C4Cc5ccc(Br)cc5C4)C(=O)C3)ccc21,285,56.0,7.449129025114194,006-008,5.678740864124324,5.0,1.0,57,4886,0.0,0.0,0.6814159292035398,6.814159292035398,0.9766745829597689,0.8254792118542658,0.000225140712945591,0.225140712945591
CN(Cc1cc(-c2ccccc2)n(S(=O)(=O)c2cccc(C(=O)N3CCOCC3)c2)c1)C(=O)OC(C)(C)C,87,12.0,5.035938600593806,004-006,4.625898248829214,4.0,1.0,24,1486,0.0,0.0,0.564935064935065,5.64935064935065,0.7593335365751248,0.7516216235148274,0.000150093808630394,0.150093808630394
CNS(=O)(=O)c1cc(C#N)cc([N+](=O)[O-])c1,5,2.0,3.436435655922339,003-004,2.131004307239061,2.0,1.0,3,217,0.0,0.0,0.5625,5.625,0.7550546569602985,0.75,0.000150093808630394,0.150093808630394
CCc1ccc2c(c1)nc(N)c1ncccc12,31,8.0,3.492651202739237,003-004,3.492651202739237,4.0,1.0,14,900,0.0,0.0,0.3902439024390244,3.902439024390244,0.4773410770358466,0.6246950475544243,0.000150093808630394,0.150093808630394
COc1ccc(N2CCC(NCCCc3ccccc3)CC2)cc1,13,4.0,5.7641962453402105,004-006,4.662577825587761,2.0,1.0,5,435,0.0,0.0,0.5970149253731343,5.970149253731343,0.8166877498707381,0.7726674092862558,0.000150093808630394,0.150093808630394
CC(C)(C)OC(=O)N1CCC2(CC1)CC(Cc1ccccc1)=NO2,44,14.0,6.75098038961371,006-008,6.665760352138688,3.0,2.0,14,616,0.0,0.0,0.5045871559633027,5.045871559633027,0.6563015850588751,0.7103429847357562,0.000150093808630394,0.150093808630394
